fecha,econ_personal_actual,econ_pais_actual,econ_pais_12m,econ_pais_5a,consumo_hogar,ipec,fecha_dt,año,mes,fecha_str
MAY2022,27.0344486236572,21.8480701446533,29.6232051849365,21.9330196380615,21.2874870300293,24.3452453613281,2022-05-15,2022,5,2022-05
JUN2022,27.8218097686768,24.1305255889893,30.0860080718994,23.3310394287109,23.2285881042481,25.7195949554443,2022-06-15,2022,6,2022-06
JUL2022,25.8627414703369,18.9032440185547,24.6761322021484,19.2953872680664,18.5261249542236,21.4527263641357,2022-07-15,2022,7,2022-07
AGO2022,26.5011177062988,20.9305648803711,27.7130241394043,23.012228012085,20.4596195220947,23.7233104705811,2022-08-15,2022,8,2022-08
SEP2022,27.3386650085449,23.3087825775146,29.7740001678467,20.4366970062256,22.0720729827881,24.5860443115234,2022-09-15,2022,9,2022-09
OCT2022,25.8785362243652,22.08616065979,26.0435009002686,17.7202415466309,19.9850215911865,22.3426914215088,2022-10-15,2022,10,2022-10
NOV2022,26.4115810394287,23.3725891113281,28.6168212890625,20.8988418579102,22.1100006103516,24.2819671630859,2022-11-15,2022,11,2022-11
DIC2022,25.7075653076172,20.9986095428467,27.7199516296387,20.6641731262207,20.328254699707,23.0837116241455,2022-12-15,2022,12,2022-12
ENE2023,28.0703258514404,21.7381191253662,29.6586303710938,22.3509178161621,20.8869876861572,24.5409965515137,2023-01-15,2023,1,2023-01
FEB2023,31.5985012054443,25.1469650268555,36.1224784851074,25.582727432251,23.6385040283203,28.4178352355957,2023-02-15,2023,2,2023-02
MAR2023,30.9370670318604,26.0346908569336,35.6214408874512,26.0090217590332,24.0072250366211,28.5218887329102,2023-03-15,2023,3,2023-03
ABR2023,29.2989521026611,24.4226093292236,33.6138229370117,23.4736843109131,21.60471534729,26.4827575683594,2023-04-15,2023,4,2023-04
MAY2023,29.081215378281,25.9528606723193,34.4031568118888,26.5033337904341,23.4746414926754,27.8830416291197,2023-05-15,2023,5,2023-05
JUN2023,32.4235294742458,27.66389841847,37.4760815872655,26.1725702127472,24.3992704069138,29.6270700199285,2023-06-15,2023,6,2023-06
JUL2023,31.0275763569696,28.7874201688969,36.5067559623477,27.0463000399952,27.7226786689046,30.2181462394228,2023-07-15,2023,7,2023-07
AGO2023,31.1810976928507,27.3437930960517,35.9076453742857,24.3162588891048,28.0063621568338,29.3510314418253,2023-08-15,2023,8,2023-08
SEP2023,30.7343741629877,28.0756674240826,37.3413251579434,25.8908354551651,24.7338009967512,29.355200639386,2023-09-15,2023,9,2023-09
OCT2023,29.8515911787826,25.5620760225958,32.1985859508817,21.699089290571,24.927299985882,26.8477284857426,2023-10-15,2023,10,2023-10
NOV2023,29.717875706589,27.8812567489819,36.169241226287,25.450165242494,25.9415068910767,29.0320091630857,2023-11-15,2023,11,2023-11
DIC2023,30.8264222530629,27.7740925298445,35.8233624247889,28.3824552307475,28.9392688494713,30.349120257583,2023-12-15,2023,12,2023-12
ENE2024,32.1074981633814,29.2856419629277,39.0839464593116,27.5446015698357,28.5231101018277,31.3089596514568,2024-01-15,2024,1,2024-01
FEB2024,34.7190070702211,30.3847831595466,38.8382215258836,28.4267634998421,27.3500871280139,31.9437724767015,2024-02-15,2024,2,2024-02
MAR2024,33.278479113789,30.6566439738819,37.6966948247129,26.3268971847008,29.0773106857375,31.4072051565644,2024-03-15,2024,3,2024-03
ABR2024,34.335326644385,27.3174360191492,34.9810161726814,27.3192928624373,28.0164556610546,30.3939054719415,2024-04-15,2024,4,2024-04
MAY2024,30.9513303703867,27.126882522074,31.8471235736518,24.7270692633885,26.0817817119708,28.1468374882943,2024-05-15,2024,5,2024-05
JUN2024,32.9751594634863,31.4380410676346,37.6983234630118,30.2261824388021,29.6094646192961,32.3894342104462,2024-06-15,2024,6,2024-06
JUL2024,30.1899690698715,26.558514518069,32.5890234325665,24.1838584513254,26.4702238772271,27.9983178698119,2024-07-15,2024,7,2024-07
AGO2024,35.9809270712532,31.4432609102111,38.9118217682857,30.2052310255884,29.5562282066538,33.2194937963985,2024-08-15,2024,8,2024-08
SEP2024,33.3892471739656,31.3793181459414,37.5477199374356,29.517236243582,27.5470939403255,31.87612308825,2024-09-15,2024,9,2024-09
OCT2024,32.1145215007171,29.6318569375926,34.7834985554751,27.9147658888319,29.7488835593783,30.838705288399,2024-10-15,2024,10,2024-10
NOV2024,34.3049753802807,30.081744498611,36.7409039271395,29.9708154447964,30.2363836877168,32.2669645877089,2024-11-15,2024,11,2024-11
DIC2024,34.821978763751,32.1904869150028,39.4384281864377,29.4118535371264,30.68807223392,33.3101639272476,2024-12-15,2024,12,2024-12
ENE2025,36.7972179163494,33.9396407375049,40.9817224474259,31.9691963584306,32.6366798100324,35.2648914539487,2025-01-15,2025,1,2025-01
FEB2025,38.3669940360193,36.0500152116315,41.5780137056891,32.7881785702888,32.7499628579608,36.3066328763179,2025-02-15,2025,2,2025-02
MAR2025,37.5322961454581,33.7262245233206,38.0884708150236,31.2878147753596,33.0389174827663,34.7347447483856,2025-03-15,2025,3,2025-03
ABR2025,36.9616027530052,34.6199369856326,39.4340092150143,29.24048607965,31.930766436735,34.4373602940074,2025-04-15,2025,4,2025-04
MAY2025,34.5304024523728,31.5899116329657,39.6091256514807,31.4718228608614,30.1074332477349,33.4617391690831,2025-05-15,2025,5,2025-05
JUN2025,36.0664618693735,34.0839823728819,40.4389314525841,31.7880246908272,32.7030159482438,35.0160832667821,2025-06-15,2025,6,2025-06
JUL2025,35.4926765332256,32.0488624123746,40.882749743319,35.7845653025989,31.8457264008545,35.2109160784745,2025-07-15,2025,7,2025-07
AGO2025,34.7499222636794,33.8029823224372,45.5912979463934,37.3640692491501,32.479849122542,36.7976241808404,2025-08-15,2025,8,2025-08
SEP2025,38.2614916325985,38.6235403898192,51.0783881027369,43.3309483315775,35.0777514934888,41.2744239900442,2025-09-15,2025,9,2025-09
OCT2025,36.4375279235747,33.3714657107232,48.0421815556124,38.9237341380961,32.7425067943691,37.9034832244751,2025-10-15,2025,10,2025-10
NOV2025,39.7591896345955,37.0747300564162,52.5339570834713,40.9613795972054,32.6662281971731,40.5990969137723,2025-11-15,2025,11,2025-11
